IP_Address,Measure_Date,Interface_ID,Interface_Name,Interface_Description
172.16.105.207,21/04/2024,1,IF-MIB-ifDescr,GigabitEthernet0/0/0
172.16.105.207,21/04/2024,2,IF-MIB-ifDescr,Embedded-Service-Engine0/0
172.16.105.207,21/04/2024,3,IF-MIB-ifDescr,GigabitEthernet0/0
172.16.105.207,21/04/2024,4,IF-MIB-ifDescr,GigabitEthernet0/1
172.16.105.207,21/04/2024,5,IF-MIB-ifDescr,Null0
172.16.105.207,21/04/2024,6,IF-MIB-ifDescr,NVI0
172.16.105.207,21/04/2024,7,IF-MIB-ifDescr,GigabitEthernet0/0/0.126
172.16.105.207,21/04/2024,8,IF-MIB-ifDescr,GigabitEthernet0/0/0.1528
172.16.105.207,21/04/2024,9,IF-MIB-ifDescr,Loopback0
172.16.102.206,21/04/2024,1,IF-MIB-ifDescr,GigabitEthernet0/0/0
172.16.102.206,21/04/2024,10,IF-MIB-ifDescr,Null0
172.16.102.206,21/04/2024,11,IF-MIB-ifDescr,ATM0/2/0-atm layer
172.16.102.206,21/04/2024,12,IF-MIB-ifDescr,ATM0/2/0.0-atm subif
172.16.102.206,21/04/2024,13,IF-MIB-ifDescr,ATM0/2/0-aal5 layer
172.16.102.206,21/04/2024,14,IF-MIB-ifDescr,ATM0/2/0.0-aal5 layer
172.16.102.206,21/04/2024,15,IF-MIB-ifDescr,Vlan1
172.16.102.206,21/04/2024,16,IF-MIB-ifDescr,GigabitEthernet0/0/0.126
172.16.102.206,21/04/2024,17,IF-MIB-ifDescr,GigabitEthernet0/0/0.2412
172.16.102.206,21/04/2024,2,IF-MIB-ifDescr,GigabitEthernet0/1/0
172.16.102.206,21/04/2024,3,IF-MIB-ifDescr,GigabitEthernet0/1/1
172.16.102.206,21/04/2024,4,IF-MIB-ifDescr,GigabitEthernet0/1/2
172.16.102.206,21/04/2024,5,IF-MIB-ifDescr,GigabitEthernet0/1/3
172.16.102.206,21/04/2024,6,IF-MIB-ifDescr,Ethernet0/2/0
172.16.102.206,21/04/2024,7,IF-MIB-ifDescr,Ethernet0/2/0-vdsl2
172.16.102.206,21/04/2024,8,IF-MIB-ifDescr,ATM0/2/0
172.16.102.206,21/04/2024,9,IF-MIB-ifDescr,ATM0/2/0-adsl
172.16.106.34,21/04/2024,1,IF-MIB-ifDescr,InLoopBack0
172.16.106.34,21/04/2024,10,IF-MIB-ifDescr,GigabitEthernet0/0/7
172.16.106.34,21/04/2024,11,IF-MIB-ifDescr,GigabitEthernet0/0/8
172.16.106.34,21/04/2024,12,IF-MIB-ifDescr,GigabitEthernet0/0/9
172.16.106.34,21/04/2024,13,IF-MIB-ifDescr,Cellular0/0/0
172.16.106.34,21/04/2024,14,IF-MIB-ifDescr,GigabitEthernet0/0/10
172.16.106.34,21/04/2024,15,IF-MIB-ifDescr,Vlanif1
172.16.106.34,21/04/2024,16,IF-MIB-ifDescr,GigabitEthernet0/0/8.123
172.16.106.34,21/04/2024,17,IF-MIB-ifDescr,GigabitEthernet0/0/8.453
172.16.106.34,21/04/2024,2,IF-MIB-ifDescr,NULL0
172.16.106.34,21/04/2024,3,IF-MIB-ifDescr,GigabitEthernet0/0/0
172.16.106.34,21/04/2024,4,IF-MIB-ifDescr,GigabitEthernet0/0/1
172.16.106.34,21/04/2024,5,IF-MIB-ifDescr,GigabitEthernet0/0/2
172.16.106.34,21/04/2024,6,IF-MIB-ifDescr,GigabitEthernet0/0/3
172.16.106.34,21/04/2024,7,IF-MIB-ifDescr,GigabitEthernet0/0/4
172.16.106.34,21/04/2024,8,IF-MIB-ifDescr,GigabitEthernet0/0/5
172.16.106.34,21/04/2024,9,IF-MIB-ifDescr,GigabitEthernet0/0/6
